kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
floorNav,病理科|||S7|||fromElevator,4楼,G0290,27,20,7,3,3,0,93.20682,93.20682,20.575,20.575
floorNav,病理科|||S7|||toElevator,4楼,G0290,27,20,7,3,3,0,93.20682,93.20682,20.575,20.575
floorNav,输血科|||S4|||fromElevator,4楼,G0294,57,9,48,2,2,0,21.257187,21.257187,20.394,20.394
floorNav,输血科|||S4|||toElevator,4楼,G0294,57,9,48,2,2,0,21.257187,21.257187,20.394,20.394
floorNav,输血科|||S5|||fromElevator,4楼,G0295,39,9,30,2,2,0,22.155535,22.155535,20.394,20.394
floorNav,输血科|||S5|||toElevator,4楼,G0295,39,9,30,2,2,0,22.155535,22.155535,20.394,20.394
floorNav,输血科|||S6|||fromElevator,4楼,G0296,31,12,19,2,2,0,55.482489,55.482489,20.375,20.375
floorNav,输血科|||S6|||toElevator,4楼,G0296,31,12,19,2,2,0,55.482489,55.482489,20.375,20.375
floorNav,输血科|||S7|||fromElevator,4楼,G0297,29,18,11,5,5,0,78.701835,78.701835,20.375,20.375
floorNav,输血科|||S7|||toElevator,4楼,G0297,29,18,11,5,5,0,78.701835,78.701835,20.375,20.375
floorNav,重症医学科|||S4|||fromElevator,4楼,G0287,49,7,42,2,2,0,36.076611,36.076611,20.984,20.984
floorNav,重症医学科|||S4|||toElevator,4楼,G0287,49,7,42,2,2,0,36.076611,36.076611,20.984,20.984
floorNav,重症医学科|||S5|||fromElevator,4楼,G0288,26,7,19,2,2,0,36.974959,36.974959,20.772,20.772
floorNav,重症医学科|||S5|||toElevator,4楼,G0288,26,7,19,2,2,0,36.974959,36.974959,20.772,20.772
floorNav,重症医学科|||S6|||fromElevator,4楼,G0289,26,12,14,1,1,0,70.008167,70.008167,20.375,20.375
floorNav,重症医学科|||S6|||toElevator,4楼,G0289,26,12,14,1,1,0,70.008167,70.008167,20.375,20.375
floorNav,重症医学科|||S7|||fromElevator,4楼,G0290,27,20,7,3,3,0,93.20682,93.20682,20.575,20.575
floorNav,重症医学科|||S7|||toElevator,4楼,G0290,27,20,7,3,3,0,93.20682,93.20682,20.575,20.575
floorNav,静脉用药调配中心|||S2|||fromElevator,5楼,G0301,21,6,15,1,1,0,38.72178,38.72178,20.397,20.397
floorNav,静脉用药调配中心|||S2|||toElevator,5楼,G0301,21,6,15,1,1,0,38.72178,38.72178,20.397,20.397
floorNav,静脉用药调配中心|||S3|||fromElevator,5楼,G0302,17,8,9,2,2,0,36.328954,36.328954,20.984,20.984
floorNav,静脉用药调配中心|||S3|||toElevator,5楼,G0302,17,8,9,2,2,0,36.328954,36.328954,20.984,20.984
floorNav,产房|||S1|||fromElevator,7楼,G0306,11,7,4,1,1,0,29.079457,29.079457,20.394,20.394
floorNav,产房|||S1|||toElevator,7楼,G0306,11,7,4,1,1,0,29.079457,29.079457,20.394,20.394
floorNav,妇产科病房|||S1|||fromElevator,7楼,G0306,11,7,4,1,1,0,29.079457,29.079457,20.394,20.394
floorNav,妇产科病房|||S1|||toElevator,7楼,G0306,11,7,4,1,1,0,29.079457,29.079457,20.394,20.394
