kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
sameFloor,内科门诊|||急诊科办公区,2楼,G0158,27,7,20,2,2,0,46.810552,46.810552,20.394,20.394
sameFloor,内科门诊|||检验科,2楼,G0159,27,7,20,2,2,0,44.496939,44.496939,20.394,20.394
sameFloor,内科门诊|||计算机机房,2楼,G0160,27,7,20,2,2,0,45.493323,45.493323,20.375,20.375
sameFloor,内科门诊|||超声医学科,2楼,G0161,19,9,10,2,2,0,47.250355,47.250355,20.375,20.375
sameFloor,外科门诊|||多功能科,2楼,G0162,19,9,10,0,0,0,65.070663,65.070663,20.197,20.197
sameFloor,外科门诊|||超声医学科,2楼,G0167,18,8,10,0,0,0,45.630083,45.630083,20.375,20.375
sameFloor,多功能科|||中医馆,2楼,G0141,24,13,11,2,2,0,84.765272,84.765272,20.575,20.575
sameFloor,多功能科|||伤口门诊,2楼,G0149,19,12,7,2,2,0,74.288457,74.288457,20.197,20.197
sameFloor,多功能科|||外科门诊,2楼,G0162,19,9,10,0,0,0,65.070663,65.070663,20.197,20.197
sameFloor,多功能科|||超声医学科,2楼,G0172,29,8,21,1,1,0,29.802665,29.802665,20.197,20.197
sameFloor,妇科门诊|||超声医学科,2楼,G0176,14,8,6,2,2,0,46.039977,46.039977,20.375,20.375
sameFloor,急诊科办公区|||内科门诊,2楼,G0158,27,7,20,2,2,0,46.810552,46.810552,20.394,20.394
sameFloor,检验科|||内科门诊,2楼,G0159,27,7,20,2,2,0,44.496939,44.496939,20.394,20.394
sameFloor,计算机机房|||内科门诊,2楼,G0160,27,7,20,2,2,0,45.493323,45.493323,20.375,20.375
sameFloor,超声医学科|||中医馆,2楼,G0146,23,12,11,3,3,0,64.785258,64.785258,20.575,20.575
sameFloor,超声医学科|||伤口门诊,2楼,G0154,18,11,7,2,2,0,54.847877,54.847877,20.375,20.375
sameFloor,超声医学科|||内科门诊,2楼,G0161,19,9,10,2,2,0,47.250355,47.250355,20.375,20.375
